name,Computer_and_electronic_product_manufacturing,Transportation_and_warehousing,Transit_and_ground_passenger_transportation,Real_estate_and_rental_and_leasing,Educational_services_and_health_care_and_social_assistance
Alabama,197.966433,1378.715311,15.74305434,5652.211968,4016.736352
Alaska,29.1480859,10660.16328,145.0593994,7650.146694,6765.488666
Arizona,1600.990629,1707.998635,98.10214268,8544.90723,5518.014964
Arkansas,93.88657392,2069.269336,21.23428316,4988.372331,4432.912544
California,3792.571702,2388.488912,310.5741204,10853.37091,6551.785989
Colorado,1031.76623,2176.846236,81.58247634,10962.26884,5229.727546
Connecticut,566.463954,1662.740747,223.3565301,10930.8362,8758.37449
Delaware,537.0185518,1516.311093,96.13786528,13902.47082,6503.437974
District_of_Columbia,102.5731507,687.9578224,194.2310827,17872.3996,17730.95033
Florida,378.3339699,1705.134797,36.23774508,10378.43522,5264.790028
Georgia,162.8657098,2141.494058,28.68920727,8723.938358,4811.518397
Hawaii,34.34326962,2357.178296,168.7449988,11029.85584,5631.950712
Idaho,1112.579123,1451.756381,44.84554543,6751.145032,4527.299594
Illinois,592.3082301,2733.857624,150.380693,9115.680652,6410.357366
Indiana,286.7088611,2216.765108,38.11532697,6090.967211,5770.516672
Iowa,610.2532172,2151.460008,33.83693661,6237.098104,4827.173624
Kansas,326.2510033,2523.790625,52.7583782,8457.09995,5295.0691
Kentucky,172.6804907,2673.418854,26.07293454,5557.662347,5121.301277
Louisiana,111.1279683,1875.408734,44.84452242,6498.824965,5105.727175
Maine,407.7000489,1131.031819,77.69172794,8885.392358,7283.853626
Maryland,1007.480634,1502.540241,133.9193892,10252.46939,6528.62286
Massachusetts,2289.615133,1427.130531,289.8125668,11461.08053,11002.16176
Michigan,294.2165702,1505.165029,45.2502933,7469.257297,5209.083852
Minnesota,1510.416493,1938.467341,135.0265107,8271.581874,7672.209138
Mississippi,54.68564063,1726.682999,20.37574087,4756.159,3524.833655
Missouri,340.4473678,1878.092775,60.29346385,6494.173334,5960.008901
Montana,105.5841161,2131.840933,54.60000524,7316.852689,5738.243597
Nebraska,280.7664062,4834.855573,39.72388842,6941.545789,5956.03686
Nevada,166.2533904,2333.109374,157.5768131,8856.115652,4250.823639
New_Hampshire,1689.147066,1038.482744,109.6932984,9829.225841,7924.439912
New_Jersey,639.3855132,2481.441171,182.4349498,11033.32222,6857.38751
New_Mexico,518.8321128,1358.828012,37.22816471,5989.907766,4268.246879
New_York,461.1206692,1621.972201,449.1755555,12009.6838,8854.365899
North_Carolina,1046.216195,1454.975139,29.74668,7004.959831,4945.880066
North_Dakota,206.1871573,3439.494867,65.94389755,7190.584291,6987.867865
Ohio,216.2126875,2191.971298,44.19286689,6778.237151,5991.852328
Oklahoma,173.1799134,3144.748793,14.90770378,5500.441594,4223.991381
Oregon,3441.650391,1744.542973,111.6932285,9012.567485,6078.259033
Pennsylvania,452.6493463,2430.683722,128.0350788,7669.40113,8007.356868
Rhode_Island,517.2358783,934.1057535,147.49518,8135.115795,7924.812099
South_Carolina,256.582274,1272.455522,20.16072352,7267.411298,3698.98249
South_Dakota,208.10923,1440.249776,54.56590535,5954.378886,7154.717217
Tennessee,168.2177032,2891.214866,53.90084397,6830.927432,6376.472712
Texas,991.3811302,2317.501106,30.31239631,8214.930046,4633.956839
Utah,797.936458,1982.682227,61.69303045,8063.458769,4568.848074
Vermont,1196.496912,916.5775335,102.7865194,7957.685959,7616.712933
Virginia,291.7862421,1608.110551,77.9567455,8920.762842,5085.473467
Washington,625.5986988,2019.560133,142.027673,10431.2957,5569.102199
West_Virginia,35.1717085,1271.446061,13.55342907,4935.632413,5346.883775
Wisconsin,568.2895583,1875.392957,201.1870204,6982.278025,6261.491087
Wyoming,49.00920303,6648.167418,41.07109268,7438.354533,3480.688821
